;LISTA DE PRECIOS (JUNIO - 26);;;
90339;KENDO;"CARRO DE SERVICIO PLEGABLE 3 BANDEJAS 658 X 425 X 855 MM. 

ESPECIFICACIONES
* Tamaño abierto: 65,8 x 42,5 x 85,5 cm
* Tamaño plegado: 20 x 42,5 x 109,8 cm
* 3 bandejas de 59 x 37,5 x 2,5 cm
* Carga por bandeja: 20 kgs. aprox.
* Barras de aluminio"; $99.990 ;
YT55210;YATO;Carro de servicio multiuso metálico, 3 divisiones, c/ruedas y freno. (795x790x370mm). Capacidad de carga de 130 kg.; $119.990 ;
YT55281;YATO;"Carro de servicio metálico con 3 bandejas. Cubierta superior de madera 905x685x455mm. 
3 bandejas centrales con rieles de rodamientos de bolas.
Cajones con cierre automático.
Carga Máxima 450 kg.
Las ruedas giratorias facilitan el movimiento y el sistema de bloqueo.
Paneles laterales perforados, para colgar herramientas."; $299.000 ;
C1NP4;FIXMAN;"COFRE PORTA HERRAMIENTAS DE 4 BANDEJAS. TAMAÑO 690X465X535MM
Las paredes del cofre son de esctructura doble. Construcción de doble pared con 2 asas empotradas de acero. . Mecanismo de liberación de los cajones incorporado con la manija para prevenir que los cajones se abran por accidente. Facil de transportar para el usuario.
Cajones: 4 bandejas
Las paredes del cofre son de esctructura doble.
Construcción de doble pared con 2 asas empotradas de acero.
Mecanismo de liberación de los cajones incorporado con la manija para prevenir que los cajones se abran por accidente. 
Facil de transportar para el usuario.
De fácil transporte vehícular. Peso 25 kilos"; $294.900 ;
M1RP6;FIXMAN;Carro Porta Herramientas con 6 cajones y rieles telescópicos. Dimensiones del carro: 766 X 465 X 958 MM. Material: hojas laminadas en frío. Mesa de trabajo de alta densidad.Capacidad: 6 cajones Ancho: 46.5 cmAlto: 95.8 cmLargo: 76.6 cm. Peso: 43 Kg. Ruedas: 4 Ruedas; $349.000 ;
YT58539;VOREL;Carro porta herramientas 6 cajones. Sistema de cajones autoblocantes con 2 llaves. Ruedas y freno. Paneles perforados laterales para colgar herramientas.; $349.000 ;
YT55299;YATO;Carro porta herramientas 6 cajones. Sistema de cajones autoblocantes con 2 llaves. Ruedas y freno. Paneles perforados laterales para colgar herramientas.; $579.000 ;
YT08980;YATO;"TABLERO PORTA HERRAMIENTAS 
Dos tableros de herramientas perforados diseñados para colgar con 32 accesorios de almacenamiento de herramientas.
2 paneles metálicos perforados cada uno de 550 x 455 x 8 mm
15 ganchos cortos
5 ganchos largos
2 ganchos dobles
3 ganchos de presión
4 contenedores de plástico
porta llaves
porta destornillador
portabrocas
Juego de tornillos y tacos incluidos para montar los tableros en la pared."; $39.990 ;
YT08920;YATO;"MESÓN DE TRABAJO 1500 X 780 X 830 MM. 64 KGS.
Impresionante capacidad de carga de hasta 1000 kg, lo que garantiza estabilidad incluso con los proyectos más pesados.
El refuerzo central adicional de la estructura garantiza una durabilidad excepcional.
Ajuste preciso de la altura y el nivel de la mesa para una ergonomía de trabajo óptima.
Superficie de trabajo antideslizante fabricada en plástico ABS duradero, que protege herramientas y materiales. Dimensiones de la mesa: 1500 mm (largo) x 780 mm (ancho) x 830 mm (alto)
Material de construcción: Chapa de acero maciza
Acabado de la superficie: Recubierto en polvo para mayor resistencia a los daños.
Carga máxima: 1000 kg
Material de la encimera: plástico ABS antideslizante
Ajustable en altura y nivel de la mesa"; $684.900 ;
YT08902ZH;YATO;ESTACIÓN DE TRABAJO MODULAR DE 2 CUERPOS (1320 X 2000 X 458 MM); $1.949.000 ;
YT08901ZH;YATO;ESTACIÓN DE TRABAJO MODULAR DE 4 CUERPOS.; $2.490.000 ;
329016;TACTIX;"ESTANTE METALICO 86,5 X 35,5 X 183 CMS.

- Diseño de ensamblaje sin tornillos
- Perfecto para almacenar cargas pesadas en el garaje o almacén
- 5 bandejas de madera"; $109.990 ;
329050;TACTIX;"ESTANTE METALICO 195,50 X 61 X 183 CMS.

Construcción de acero de resistencia industrial, para soportar cargas pesadas.
Acabado duradero resistente el óxido y los arañazos.
Estantes de alambre para ventilación y almacenamiento multiusos.
Ideal para el almacenamiento de cargas pesadas en garaje o almacén.
4 bandejas, carga máxima por bandeja 820 kgs"; $499.000 ;
790041;ONSITE;"CAJA CON 23 HERRAMIENTAS
Contenido:
- Alicate Punta Larga
- Alicate Corte Diagonal
- Atornillador Carpintero
- Atornillador Punta PH
- Juego Atornillador Joyero 6pz.
- Cuchillo Cartonero
- Huincha 3 mts.
- Juego Llaves Allen 8 pz.
- Martillo Carpintero
- Nivel 3 aguas
- Caja plástica transparente"; $23.990 ;
HKTH10809;INGCO;"JUEGO HERRAMIENTAS MANUALES 9 PZAS

1 Cinta métrica acero 3mt (16mm)
1 Destornillador PH1 x100mm
1 Destornillador Carp 5,5 x100mm
1 Llave ajustable 8""
1 Mini martillo de garra de 8 oz
1 Alicate Punta larga 6""
1 Alicate universal 7""
1 Cuchillo cartonero
1 Buscapolos 190mm
Bolsa de lona"; $29.990 ;
YT39280;YATO;Bolso con 44 herramientas; $89.990 ;
YT38951;YATO;"Caja con herramientas metálica, 2 bandejas (460 x 220 x 245mm). 80 piezas. Incluye: dados, chicharra, llaves, destornilladores, alicates.

"; $199.900 ;
HTCS221321;INGCO;CAJA METALICA CON 132 HERRAMIENTAS; $289.990 ;
90213;KENDO;"CAJA METALICA CON 81 HERRAMIENTAS. BANDEJAS PLEGABLES. Alto: 29 cm. Ancho: 51 cm. Largo: 28 cm. 

Accesorios cuadrantes de 1/2""
15 Dados cortos en mm: 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 27, 30 mm
1 Chicharra y 1 Extensión 75mm
3 Alicates: Punta Larga 6"", Corte diagonal 6"", Universal 6""
1 Llave ""pico de loro"" 250mm (10"")
1 Set puntas atornillador (20 piezas) y 1 Mango adaptador puntas
5 Atornilladores: Carp 3 x 75mm, 5 x 100mm, 6 x 125mm, PH1 x 75mm, PH2 x 100mm
1 Cuchillo cartonero 18mm y 1 Set hojas cuchillo cartonero SK5
1 Cinta metrica 3m
1 Martillo carp 8oz
10 Llaves Punta corona: 8, 10, 12, 13, 14, 15, 16, 17, 18, 19 mm
1 Set llave allen 9pzs: 1.5, 2, 2.5, 3, 4, 5, 6, 8, 10 mm
1 Nivel torpedo 225mm
1 Regla 30cm"; $159.990 ;
YT3895;YATO;Caja con herramientas metálica, plegable, incluye juego de llaves, destornilladores, dados, alicates, entre otros. 63pzas.; $269.990 ;
1005775;POWERGRID;Juego de 52 herramientas con maleta para hobby. El set contiene 1 alicate de punta larga 150MM, 1 llave ajustable 150MM, 9 llaves allen plegables de tamaños 1,5MM, 2MM, 2,5MM, 3MM, 3,5MM, 4MM, 5MM, 5,5MM y 6MM, 1 alicate tipo caimán de 125MM, 1 alicate de corte, 1 chicharra de 3/8'', 28 dados de 1/4'' tamaños 4MM, 4,5MM, 5MM, 5,5MM, 6MM, 6,5MM, 7MM, 7,5MM, 8MM, 9MM, 10MM, 11MM, 12MM, 13MM, SAE: 5/32'', 3/16'', 7/32'', 1/4'', 9/32'', 5/12'', 11/32'', 3/8'', 13/32'', 7/16'', 15/32'', 1/2'', 17/32'', 9/16'', 3 pc 1/4'' , 4 puntas 3/8'' tamaños 14MM, 15MM SAE 5/8'''', 11/16'''', 1 adaptador de 1pc 3/8'''' a 1/4'''', 1 barra de extensión de 3/8'' ratchet 75MM, 1 ratchet Spin Disk y 1 maleta plástica para un más cómodo almacenamiento.; $24.990 ;
YT38781;YATO;"MALETA CON 77 HERRAMIENTAS:
- Dados de 1/4 "", 1/2""
- 1/4 ""(25 mm): 4, 5, 6, 7, 8, 9, 10, 11, 12 mm - Dados de 1/2"" (38 mm): 10, 11, 12, 13, 14, 15, 17, 19, 22, 24 mm. - Dados de 1/2 ""(42 mm): 27, 30, 32 mm - Dados de bujía: 16, 21 mm
- 1/4 ""extensiones: 76, 102 mm - 1/2"" extensiones: 127, 254 mm
- Chicharra de72 dientes: 1/4 "" - Chicharra de72 dientes: 1/2""
- cardán: 1/4 "" - conjuntos cardán. Adaptador cuadrante de 1/2 "" - 1/4""  hexagonal . Puntas de 1/4 "":
- PH0, PH1, PH2, PH3 - PZ1, PZ2, PZ3 - planas 3, 4, 5.5, 7 mm - hexagonales: 2, 3, 4, 5, 6 mm - torx : T10, T15, T20, T25 - adaptador hexagonal. 1/4 ""sobre cuadrante de 1/4"" - llaves punta corona: 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19 mm. - llaves de dado dobles: 8x9, 10x11, 12x13, 14x15
- llaves allen de: 1,5, 2, 2,5, 5, 6, 8, 10 mm"; $169.990 ;
YT12681;YATO;"MALETA CON 94 HERRAMIENTAS. Juego de dados 1/2"" - 1/4"" . Contenido:
1/4”:
13 - Dados hexagonales 4, 4.5, 5, 5.5, 6, 7, 8, 9, 10, 11, 12, 13, 14mm
 8 - Dados Largos hexagonales 6, 7, 8, 9, 10, 11, 12, 13mm
 6 - Dados TORX T8, T10, T15, T20, T25, T30
 2 - Dados Phillips PH1, PH2
 2 - Dados Pozidriv PZ1, PZ2
 4 - Dados Hexagonal H3, H4, H5, H6
 3 - Dados SL SL4.5, SL5.5, SL6.5
 2 - Extensión: 50mm & 100mm
 1 - Extensión flexible 145mm
 1 - Articulación Universal
 1 - Mango corredizo T, 110mm
 1 - Chicharra 72 dientes, tipo pera
 1 - Mango giratorio
1/2"":
18 - Dados hexagonales 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 30, 32mm
 4 - Dados largos hexagonales 14, 15, 17, 19mm
 2 - Dados para bujías 16mm, 21mm
 2 - Extensiones 125mm, 250mm
 1 - Adaptador 3 en 1
 1 - Articulación universal
 1 - Adaptador para puntas 5/16”
 1 - Chicharra 72 dientes, tipo pera
Más:
3 - Llaves Hexagonales: 1.5, 2, 2.5mm y 16 - Puntas 8mm (5/16”) T40, T45, T50, T55, // H7, H8, H10, H12, H14 // PH3, PH4 // PZ3, PZ4 // SL8, SL10, SL12.
"; $139.990 ;
YT38791;YATO;"MALETA CON 108 HERRAMIENTAS: Juego de dados 1/2"" - 1/4""   108 piezas.
Tipo de herramienta Hex puntas, PH puntas, SL puntas, Torx puntas, Dados hexagonales 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 27, 30, 32, 6, 7, 8, 9"; $174.990 ;
YT38891;YATO;"MALETA CON 109 HERRAMIENTAS: SET DADOS Y HERRAMIENTAS 1/4"" Y 1/2"" 109 PIEZAS. Contenido:
2 x Articulación de tres vías: 3/8""(F)x1/2""(M), 3/8""(F)x1/4""(M)
12 x Llave: 8/10/11/12/13/14/15/16/17/18/19/22 mm
4 x Llave doble flexible para conector: 8 x 9, 10 x 11, 12 x 13, 14 x 15 mm
3 x Llave de doble Chicharra: 8 x 10, 12 x 13, 17 x 19 mm
6 x Destornilladores ranurados: 3 x 75, 4 x 100, 6,5 x 150, PH1 x 75, PH2 x 100, PH3 x 150 mm
1 x Alicates universales: 180 mm
1 x Alicates de corte: 160 mm
1 x Martillo maquinista: 300 g
1/2"":
15 x Unidad conectora: 12/13/14/15/16/17/18/19/20/21/22/24 mm (L= 38 mm); 27/30/32 mm (L= 42 mm)
6 x Conector profundo: 10/12/13/14/17/19 mm (L= 76 mm)
8 x Conector de estrella: E10/E12/E14/E16/E18/E20/E22/E24
1 x Barra de extensión: 254 mm
1 x Articulación universal
2 x Conector de bujía: 16/21 mm
1 x Llave de chicharra conectora: 72 dientes, 255 mm
1/4"":
13 x Llave de dado: 4/4,5/5/5,5/6/7/8/9/10/11/12/13/14 mm (L = 25 mm)
6 x Conector profundo: 4/5/6/7/8/9 mm (L= 50 mm)
1 x Barra de extensión: 152,4 mm
1 x Articulación universal
1 x Llave de chicharra conectora: 72 dientes, 155 mm
1 x Rotámetro de mano: 150 mm
3 x Ranurada: 4/5,5/6,5 mm (L=37 mm)
3 x Philips: PH1/PH/PH3 (L=37 mm)
2 x Pozidrive: PZ2/PZ3 (L=37 mm)
5 x Torx: T8/T10/T15/T20/T25 (L=37 mm)
5 x Torx inalterable: T10/T15/T20/T25/T40 (L=37 mm)
4 x Hexagonal: 3/4/5/6 mm (L = 37 mm)"; $274.990 ;
YT38931;YATO;MALETA CON 173 HERRAMIENTAS; $269.000 ;
YT38831;YATO;"MALETA CON 111 HERRAMIENTAS. Dados de 1/2 "": 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24 mm, L = 38 mm; 27; 30; 32 mm, L = 42 mm. Dados de 3/8"" : 9; 10; 11; 12; 13; 14; 15; 16 mm, L = 28 mm 17; 18; 19 mm, L = 30 mm. Dados de 1/4 "": 3.5; 4; 4.5; 5; 5.5; 6; 7; 8; 9; 10; 11; 12; 13 mm, L = 25 mm
Chicharra de 1/2"": 72T, 255 mm. 3/8 ""trinquete: 72T, 200 mm. 1/4"" trinquete: 72T, 155 mm
1/4 "" mango deslizante , destornillador 1/4"" , L = 150 mm. Extensiones de 1/2 "": 125 mm ; Extensiones de 250 mm 3/8 "": 575 mm; Extensiones de 150 mm 1/4 "": 50 mm; Adaptadores de 100 mm : 1/4""; 3/8 """"; 1/2 """" Dados de bujía 1/2 ""; 3/8"": 16; Junta universal de 21 mm : 1/2 ""; 3/8"" Puntas de 5/16 "": - TORX: T27; T30; T35; T40; T45 - Cruz PHILIPS: Ph32; Ph3 - Cruz POZIDRIV: Pz2; Pz3 - Ranurada : 6; 6.5; 8 mm - Hexagonal: 5.5; 6; 6.5 mm Puntas de destornillador Torx en dado de 1/4 "": T8; T10; T15; T20; Puntas de destornillador Torx T25 con un orificio en la tapa de 1/4 "": T10; T15; T20; T25; T40. Puntas de destornillador Phillips Philips en la tapa de 1/4"": Ph1; Puntas de destornillador de cruz Ph2 Pozidriv en casquillo de 1/4 "": Pz1; Pz2 Puntas de destornillador plano en casquillo de 1/4"": 4; 5,5; Puntas de destornillador hexagonal de 7 mm en dado de 1/4 "": 3; 4; 5; 6 mm Llaves punta corona: 8; 10; 11; 12; 13; 14; 15; 17; 19 mm Llaves Allen: 1,5; 2; 2 ."; $194.990 ;
YT38801;YATO;"MALETA CON 120 HERRAMIENTAS. JUEGO DADOS MIXTO 1/2""-3/8""-1/4"". 120 piezas
Material: Acero al vanadio cromado (CrV) CONTENIDO:
10 x Llave: 8/9/10/11/12/13/14/17/18/19 mm
1/2"":
7 x Llave de dado: 20/21/22/24 mm (L = 38 mm); 27/30/32 mm (L = 42 mm)
4 x Llave regular: 1/2""x15/16"", 1/2""x1"", 1/2""x1-1/16"", 1/2""x1-1/4""
4 x Llave de impacto métrico: 17/19/21/23 mm 2 x Barra de extensión: 127/254 mm 1 x Articulación universal
1 x Llave de chicharra conectora: 72 dientes, 255 mm
3/8"":
11 x Llave de dado: 9/10/11/12/13/14/15/16 mm (L = 28 mm); 17/18/19 mm (L = 30 mm)
4 x Llave de dado profunda: 13/14/15/17 mm (L = 63 mm)
9 x Llave regular: 3/8""x3/8"", 3/8""x7/16"", 3/8""x1/2"", 3/8""x9/16"", 3/8""x5/8"", 3/8""x11/16"", 3/8""x3/4"" , 3/8""x13/16"", 3/8""x7/8""
8 x Llave de estrella: E8/E10/E11/E12/E14/E16/E18/E20
2 x Barra de extensión: 76/152,4 mm 1 x Articulación universal
2 x Conector de bujía: 16 mm 21 mm
1 x Llave de chicharra conectora: 72 dientes, 200 mm
2 x Ranurada: 5,5/6,5 mm (L = 50 mm) 2 x Philips: PH1/PH2 (L = 50 mm) 2 x Pozidriv: PZ1/PZ2 (L = 50 mm) 7 x Torx: T20/T30/T40/T45/T50/T55/T60 (L = 50 mm) 4 x Hexagonal: 3/4/5/6 mm (L = 50 mm)
1/4"":
10 x Llave de dado: 4/5/6/7/8/9/10/11/12/13 mm (L = 25 mm)
4 x Llave profunda: 8/9/10/12 mm (L = 50 mm)
10 x Conector regular: 1/4""x5/32"", 1/4""x3/16"", 1/4""x7/32"", 1/4""x1 /4"", 1/4""x9/32"", 1/4""x5/16"", 1/4""x11/32"", 1/4""x3/8"", 1/4""x7/16"", 1/4""x1/2""
1 x Barra de extensión: 50,8 mm 1 x Articulación universal 1 x Llave de chicharra conectora: 72 dientes, 155 mm 1 x Rotámetro de mano: 150 mm   x Adaptador de puntas 7 x Torx: T10/T15/T20/T25/T27/T30/T40 (L =25 mm)"; $224.990 ;
YT38875;YATO;"MALETA CON 126 HERRAMIENTAS. Dados de 1/2 ""(12,7 mm): 20; 21; 22; 24 mm, L = 38 mm; 27; 30; 32 mm, L = 42 mm. Dados de 3/8"" (9,5 mm): 9 ; 10; 11; 12; 13; 14; 15; 16 mm, L = 28 mm; 17; 18 mm, 19 mm L = 30 mm. Dados de 1/4 ""(6,3 mm): 4; 4,5; 5; 5,5; 6; 7; 8; 9; 10; 11; 12; 13 mm, L = 25 mm: CrV 50BV30. Dados de 3/8 ""(9,5 mm) de largo: 13; 14; 15 mm, 17 mm L = 63 mm. Dados largos de 1/4 ""(6,3 mm): 8; 9; 10; 12 mm, L = 50 mm: 50BV30. Dados torx de 3/8"" (9,5 mm): E8; E10; E11; E12; E14; E16; E18, E20, CrV 6150. Extensiones de 1/2 "": 127 mm; 254 mm; 3/8"": 76 mm; 152,4 mm; 1/4 "": 50,8 mm. Reducción 3/8"" (F) x 1/2 ""(M). Junta universal: 1/2""; Dados para bujías de 3/8 "", 1/4"" 3/8 "": 16; Trinquete de 21 mm 1/2"": 72T, Trinquete 3/8 "": 72T, L = 200 mm CrV 6140. Trinquete 1/4"": 72T, L = 155 mm CrV 6140 Mango de destornillador 1/4 "", L = 150 mm. Reducción 1/2"" (F) x 3 / 8 ""(M); 3/8"" (F) x 1/2 (M); 3/8"" (F) x 1/4 ""(M).  1/4"" x 1/4 ""CrV 6140. Puntas 1 / 4 "": plano 4.5; 6,5 mm; PH1, PH3; PZ1; PZ2; torx: T10, T15, T20, T25, T27, T30, T40; hexagonal 3, 4, 5, 6 mm. Puntas de destornillador plano en un dado de 3/8 "": 5,5; puntas de destornillador Phillips de 6,5 mm en un dado de 3/8"": Ph1; 2 puntas de
destornillador Torx Ph2 en un dado de 3/8 "": T20; T30; T40; T45; T50; T55; T60. Puntas de destornillador hexagonal en un dado de 3/8"": 3; 4; 5; 6; Punta de destornillador estriado de 7 mm en casquillo de 1/2 "": M10 L = 100 mm. Llaves de anillo: 8; 10; 12; 13; 14; 15; dieciséis; 17; 18; 19 mm. Llaves semiabiertas: 8x10 mm; Destornilladores de impacto de 11x12 mm : 6x100 mm; PH2x100 mm Comprobado de voltaje del vehículo 6-24V. Alicates 150 mm. Llave para filtro de aceite: 1/2 "", 3/8"" 63 - 120 mm. Llaves Allen: 1,5; 2; 2,5; 3; 4; 5; 6; 8; 10 mm"; $259.990 ;
YT12685;YATO;MALETA CON 97 HERRAMIENTAS (Incluye destornillador alámbrico); $99.990 ;
YT38928;YATO;"MALETA CON 88 HERRAMIENTAS. Contiene dados cortos de 1/4 "", longitud 25 mm, CrV 50BV30: 4, 4.5, 5, 5.5, 6, 7, 8, 9, 10, 11, 12, 13, 14 mm. Extensión 1/4 "", 50.8 mm, CrV50BV30. Extensión flexible 1/4 "", 150 mm, CrV6140. Junta cardán de 1/4 "", CrV50BV30. T 1/4 "", 152.4 mm, mango CrV50BV30. Trinquete 1/4 "", 155 mm, 72 dientes, CrV6140. Mango de 1/4 "", 150 mm, CrV50BV30. Adaptador 1/4 ""x 1/4"", CrV6140
Brocas planas de 1/4 "", longitud 50 mm, AISI S2: 3, 4, 5 mm. Philips 1/4 ""bits, longitud 50 mm, AISI S2: PH1, PH2, PH3. Philips 1/4 ""bits, longitud 25 mm, AISI S2: PH0, PH1, PH2. Pozidriv 1/4 ""bits, longitud 50 mm, AISI S2: PZ1, PZ2. Pozidirv 1/4 ""bits, longitud 25 mm, AISI S2: Pz0, PZ1, Pz2. Brocas Torx de 1/4 "", longitud 50 mm, AISI S2: T10, T15, T20, T25, T27, T30. Brocas Torx de 1/4 "", longitud 25 mm, AISI S2: T10, T15, T20, T25, T27, T30. Brocas hexagonales de 1/4 "", longitud 50 mm, AISI S2: 3, 4, 5, 6 mm. Brocas hexagonales de 1/4 "", longitud 25 mm, AISI S2: 3, 4, 5, 6 mm. Brocas planas con conector de 1/4 "", longitud 37 mm, AISI S2 / CrV6150: 4, 5.5 mm. Brocas Philips con zócalo de 1/4 "", longitud 37 mm, AISI S2 / CrV6150: PH1, PH2, PH3. Brocas Torx con conector de 1/4 "", longitud 37 mm, AISI S2 / CrV6150: T15, T20. Brocas hexagonales con conector de 1/4 "", AISI S2 / CrV6150: 3, 4 mm. Destornilladores planos: 2x50, 2.4x50, 6x38, 6x100mm. Destornilladores Philips: PH0x50, PH1x50, PH2x38, PH2x100, mm, S2. Probador de voltaje de 140 mm. Cortadores laterales de 160 mm. Alicates de punta larga 160 mm. Alicates de tubo de 250 mm. Llave ajustable de 150 mm. Martillo 300g. Sierra de mano 125 mm, 65 Mn
Cuchilla 65 Mn. Cinta métrica de 3 mx 16 mm. Nivel de 230 mm. Llaves Allen, CrV6150: 1.5, 2, 2.5"; $119.990 ;
